baseline_growth_iou,baseline_growth_tolerance_f1,baseline_hausdorff_95_m,baseline_mean_boundary_distance_m,baseline_perimeter_iou,delta_growth_iou,delta_growth_tolerance_f1,delta_hausdorff_95_m,delta_mean_boundary_distance_m,delta_perimeter_iou,history_growth_iou,history_growth_tolerance_f1,history_hausdorff_95_m,history_mean_boundary_distance_m,history_perimeter_iou,incident_code,spread_adjustment,start_index,target_index
0.005917159763313609,0.025396825396825397,397.68776438891757,96.24625969517793,0.8933734939759036,-0.005917159763313609,-0.011698195259839096,-83.28798112657262,-12.199372983807436,0.011941105901921656,0.0,0.0136986301369863,314.39978326234495,84.04688671137049,0.9053145998778253,CA-AEU-017769_Electra,1.2,2,3
0.0,0.0,669.6204130532992,88.16227175963375,0.9372119815668203,0.0,0.0,-529.0165555561384,-57.129973942896214,0.03879281747337171,0.0,0.0,140.6038574971608,31.032297816737543,0.976004799040192,CA-AEU-017769_Electra,1.2,3,4
0.0,0.0,397.68776438891757,60.78383898846458,0.9602534562211982,0.0,1.0,-397.68776438891757,-60.78383898846458,0.039746543778801824,0.0,1.0,0.0,0.0,1.0,CA-AEU-017769_Electra,1.2,4,5
0.0,0.0,397.68776438891757,60.78383898846458,0.9602534562211982,0.0,1.0,-397.68776438891757,-60.78383898846458,0.039746543778801824,0.0,1.0,0.0,0.0,1.0,CA-AEU-017769_Electra,1.2,5,6
0.1746031746031746,0.4437990420870274,775.170692588779,198.74199092318622,0.6989869753979739,-0.16942182745291554,-0.4232862215742069,140.4735140746276,34.10818889969153,-0.0027844437524042753,0.0051813471502590676,0.020512820512820513,915.6442066634066,232.85017982287775,0.6962025316455697,OR-MAF-022199_CrocketsKnob,1.2,1,2
0.12154696132596685,0.36569438397910314,441.20582046887495,143.31947130049218,0.7995079950799509,-0.12154696132596685,-0.36569438397910314,-148.65110995275091,-79.57431744518021,0.09380637191862673,0.0,0.0,292.55471051612403,63.74515385531197,0.8933143669985776,OR-MAF-022199_CrocketsKnob,1.2,2,3
0.0449438202247191,0.11703239289446186,585.1094210322481,147.70761944935364,0.806157354618016,-0.0449438202247191,-0.11703239289446186,-258.0233111063351,-87.70735487258673,0.10045743137420193,0.0,0.0,327.086109925913,60.00026457676691,0.9066147859922179,OR-MAF-022199_CrocketsKnob,1.2,3,4
0.09259259259259259,0.24582967515364357,538.9502880642126,169.75666772607929,0.8002028397565923,-0.09259259259259259,-0.24582967515364357,115.22193178761336,-37.51452473878132,0.059976131160633606,0.0,0.0,654.172219851826,132.24214298729797,0.860178970917226,OR-MAF-022199_CrocketsKnob,1.2,4,5
0.1223155929038282,0.2953420242469971,3405.087167793015,1057.4913612142498,0.44411590774689536,-0.1223155929038282,-0.2953420242469971,-843.5652798194374,-273.68671423965793,0.06617215809672605,0.0,0.0,2561.5218879735776,783.8046469745918,0.5102880658436214,AZ-SCA-001418_DryLake,0.987,1,2
0.0,0.0,3322.8037694692944,910.4694229339282,0.5588776448942042,0.0,1.0,-3322.8037694692944,-910.4694229339282,0.4411223551057958,0.0,1.0,0.0,0.0,1.0,AZ-SCA-001418_DryLake,0.987,2,3
