baseline_growth_iou,baseline_growth_tolerance_f1,baseline_hausdorff_95_m,baseline_mean_boundary_distance_m,baseline_perimeter_iou,delta_growth_iou,delta_growth_tolerance_f1,delta_hausdorff_95_m,delta_mean_boundary_distance_m,delta_perimeter_iou,history_growth_iou,history_growth_tolerance_f1,history_hausdorff_95_m,history_mean_boundary_distance_m,history_perimeter_iou,incident_code,spread_adjustment,start_index,target_index
0.005917159763313609,0.025396825396825397,397.68776438891757,96.24625969517793,0.8933734939759036,-0.005917159763313609,8.088160954403123e-05,-83.28798112657262,-4.656457085642359,0.005898350684290565,0.0,0.025477707006369428,314.39978326234495,91.58980260953557,0.8992718446601942,CA-AEU-017769_Electra,1.2,2,3
0.0,0.0,669.6204130532992,88.16227175963375,0.9372119815668203,0.0,0.0,-470.77653085884043,-45.34147913621005,0.027793949631281678,0.0,0.0,198.84388219445879,42.820792623423706,0.965005931198102,CA-AEU-017769_Electra,1.2,3,4
0.0,0.0,397.68776438891757,60.78383898846458,0.9602534562211982,0.0,0.0,-257.0839068917568,-48.07573018697059,0.027891179226341878,0.0,0.0,140.6038574971608,12.708108801493989,0.98814463544754,CA-AEU-017769_Electra,1.2,4,5
0.0,0.0,397.68776438891757,60.78383898846458,0.9602534562211982,0.0,1.0,-397.68776438891757,-60.78383898846458,0.039746543778801824,0.0,1.0,0.0,0.0,1.0,CA-AEU-017769_Electra,1.2,5,6
0.1746031746031746,0.4437990420870274,775.170692588779,198.74199092318622,0.6989869753979739,-0.08026355196166515,-0.17440637822653432,149.96853285338727,24.441453544251146,0.006082149025989136,0.09433962264150944,0.2693926638604931,925.1392254421663,223.18344446743737,0.7050691244239631,OR-MAF-022199_CrocketsKnob,1.2,1,2
0.12154696132596685,0.36569438397910314,441.20582046887495,143.31947130049218,0.7995079950799509,0.023491206612964444,0.0028276889575571396,-114.11971054296197,-35.55822798245279,0.048460550136300795,0.1450381679389313,0.3685220729366603,327.086109925913,107.76124331803939,0.8479685452162516,OR-MAF-022199_CrocketsKnob,1.2,2,3
0.0449438202247191,0.11703239289446186,585.1094210322481,147.70761944935364,0.806157354618016,0.0019311797752809001,0.004600969399195812,-162.59055243505952,-38.420293167024894,0.04632148455973495,0.046875,0.12163336229365768,422.51886859718854,109.28732628232875,0.8524788391777509,OR-MAF-022199_CrocketsKnob,1.2,3,4
0.09259259259259259,0.24582967515364357,538.9502880642126,169.75666772607929,0.8002028397565923,0.009817045961624277,0.00032417100020257217,-76.38067534312944,-25.82033046559323,0.039540749986997414,0.10240963855421686,0.24615384615384614,462.56961272108316,143.93633726048606,0.8397435897435898,OR-MAF-022199_CrocketsKnob,1.2,4,5
0.1223155929038282,0.2953420242469971,3405.087167793015,1057.4913612142498,0.44411590774689536,0.004321961681324635,0.02723671369916486,-1393.9444161872848,-413.7545910377588,0.03505075891977133,0.12663755458515283,0.322578737946162,2011.1427516057302,643.736770176491,0.4791666666666667,AZ-SCA-001418_DryLake,0.987,1,2
0.0,0.0,3322.8037694692944,910.4694229339282,0.5588776448942042,0.0,0.0,-367.35989919640315,-125.85533028726002,0.02218404807566665,0.0,0.0,2955.443870272891,784.6140926466682,0.5810616929698709,AZ-SCA-001418_DryLake,0.987,2,3
