active_fraction,blocked_actions,breached_line_cells,burned_fraction,constructed_line_cells,contained,cumulative_cost,cumulative_exposure,escaped,held_line_cells,line_breach_events,line_completions,line_starts,minute,reload_queue_entries,retardant_drops,seed,strategy,water_drops,weighted_loss,wind_speed_m_s
0.0,0,0,0.00537109375,0,True,0.0,0.0,False,0,0,0,0,118,0,0,20260804,uncontrolled,0,15.981466293334961,2.0
0.0,0,0,0.005126953125,0,True,12.8,7.960000000000006,False,0,0,0,0,79,6,4,20260804,aerial_only,4,14.80410099029541,2.0
0.0,0,0,0.00537109375,28,True,20.224999999999977,19.51999999999976,False,0,0,1,2,108,9,5,20260804,integrated_operations,6,15.967460632324219,2.0
0.0,0,0,0.123779296875,0,True,0.0,0.0,True,0,0,0,0,686,0,0,20260804,uncontrolled,0,283.93536376953125,6.0
0.001220703125,0,0,0.119873046875,0,False,32.8,19.19999999999977,True,0,0,0,0,686,14,11,20260804,aerial_only,8,291.7962341308594,6.0
0.0029296875,0,13,0.095703125,78,False,51.5999999999991,60.679999999998884,True,20,13,7,9,525,14,11,20260804,integrated_operations,8,254.3709259033203,6.0
0.002197265625,0,0,0.125,0,False,0.0,0.0,True,0,0,0,0,591,0,0,20260804,uncontrolled,0,297.68621826171875,10.0
0.0009765625,0,0,0.1142578125,0,False,32.8,19.19999999999977,True,0,0,0,0,611,14,11,20260804,aerial_only,8,283.735595703125,10.0
0.02685546875,0,19,0.050048828125,45,False,31.54999999999983,31.679999999999502,False,9,18,2,3,180,14,8,20260804,integrated_operations,8,197.30418395996094,10.0
0.0,0,0,0.005126953125,0,True,0.0,0.0,False,0,0,0,0,82,0,0,20260805,uncontrolled,0,15.41769790649414,2.0
0.0,0,0,0.005126953125,0,True,12.8,7.960000000000006,False,0,0,0,0,79,6,4,20260805,aerial_only,4,15.412435531616211,2.0
0.0,0,0,0.005126953125,18,True,15.050000000000033,14.279999999999871,False,0,0,0,2,79,6,4,20260805,integrated_operations,4,15.412435531616211,2.0
0.0,0,0,0.12158203125,0,True,0.0,0.0,True,0,0,0,0,613,0,0,20260805,uncontrolled,0,285.21954345703125,6.0
0.0263671875,0,0,0.033203125,0,False,25.599999999999998,17.479999999999805,False,0,0,0,0,180,14,8,20260805,aerial_only,8,150.0545654296875,6.0
0.02685546875,0,8,0.020263671875,40,False,31.224999999999852,31.7599999999995,False,7,6,2,3,180,14,8,20260805,integrated_operations,8,134.12350463867188,6.0
0.002197265625,0,0,0.12158203125,0,False,0.0,0.0,True,0,0,0,0,605,0,0,20260805,uncontrolled,0,297.5540771484375,10.0
0.0009765625,0,0,0.110595703125,0,False,32.8,19.19999999999977,True,0,0,0,0,605,14,11,20260805,aerial_only,8,275.3515625,10.0
0.001708984375,0,21,0.097412109375,72,False,55.47499999999888,66.71999999999923,True,11,18,7,9,600,14,11,20260805,integrated_operations,8,262.0821838378906,10.0
0.000732421875,0,0,0.005126953125,0,False,0.0,0.0,False,0,0,0,0,180,0,0,20260806,uncontrolled,0,18.366928100585938,2.0
0.0,0,0,0.005126953125,0,True,16.8,12.079999999999918,False,0,0,0,0,120,10,5,20260806,aerial_only,6,15.45082950592041,2.0
0.0,0,0,0.005126953125,32,True,20.199999999999978,20.91999999999973,False,0,0,1,2,116,10,5,20260806,integrated_operations,6,15.541476249694824,2.0
0.000244140625,0,0,0.128173828125,0,False,0.0,0.0,True,0,0,0,0,518,0,0,20260806,uncontrolled,0,286.1512145996094,6.0
0.0244140625,0,0,0.0556640625,0,False,25.599999999999998,17.479999999999805,False,0,0,0,0,180,14,8,20260806,aerial_only,8,175.08294677734375,6.0
0.01025390625,0,9,0.011962890625,46,False,31.22499999999985,31.7199999999995,False,12,7,2,3,180,14,8,20260806,integrated_operations,8,66.38137817382812,6.0
0.003173828125,0,0,0.12060546875,0,False,0.0,0.0,True,0,0,0,0,532,0,0,20260806,uncontrolled,0,305.21112060546875,10.0
0.003662109375,0,0,0.108154296875,0,False,32.8,19.19999999999977,True,0,0,0,0,710,14,11,20260806,aerial_only,8,287.99810791015625,10.0
0.00146484375,0,15,0.076416015625,80,False,52.94999999999902,61.95999999999886,True,12,12,6,8,542,14,11,20260806,integrated_operations,8,192.76637268066406,10.0
0.0,0,0,0.00537109375,0,True,0.0,0.0,False,0,0,0,0,122,0,0,20260807,uncontrolled,0,16.42412757873535,2.0
0.0,0,0,0.005126953125,0,True,13.600000000000001,9.519999999999973,False,0,0,0,0,94,8,4,20260807,aerial_only,5,15.433622360229492,2.0
0.000244140625,0,0,0.005126953125,41,False,31.849999999999813,31.7599999999995,False,0,0,2,3,180,14,8,20260807,integrated_operations,8,16.51493263244629,2.0
0.000732421875,0,0,0.121826171875,0,False,0.0,0.0,True,0,0,0,0,465,0,0,20260807,uncontrolled,0,268.6993408203125,6.0
0.020263671875,0,0,0.059326171875,0,False,25.599999999999998,17.479999999999805,False,0,0,0,0,180,14,8,20260807,aerial_only,8,175.34695434570312,6.0
0.02587890625,0,12,0.037841796875,38,False,31.849999999999813,31.7599999999995,False,10,12,2,3,180,14,8,20260807,integrated_operations,8,160.91329956054688,6.0
0.002197265625,0,0,0.12060546875,0,False,0.0,0.0,True,0,0,0,0,508,0,0,20260807,uncontrolled,0,288.5103759765625,10.0
0.00146484375,0,0,0.10693359375,0,False,32.8,19.19999999999977,True,0,0,0,0,584,14,11,20260807,aerial_only,8,258.4731140136719,10.0
0.00048828125,0,19,0.105712890625,68,False,55.29999999999889,67.59999999999937,True,6,17,8,9,615,14,11,20260807,integrated_operations,8,267.8759765625,10.0
